ID	msisensorpro	reference_result
S0335	4.8	
S0336	4.79	
S0337	4.79	
S0338	4.77	
S0339	4.76	
S0340	4.76	
S0341	4.75	
S0342	4.75	
S0343	4.75	
S0344	4.74	
S0345	4.74	
S0346	4.74	
S0347	4.74	
S0348	4.73	
S0349	4.73	
S0350	4.72	
S0351	4.72	
S0352	4.71	
S0353	4.71	
S0354	4.7	
S0355	4.69	
S0356	4.69	
S0357	4.69	
S0358	4.67	
S0359	4.67	
S0360	4.67	
S0361	4.67	
S0362	4.66	
S0363	4.66	
S0364	4.66	
S0365	4.65	
S0366	4.65	
S0367	4.65	
S0368	4.64	
S0369	4.64	
S0370	4.63	
S0371	4.62	
S0372	4.61	
S0373	4.6	
S0374	4.6	
S0375	4.6	
S0376	4.57	
S0377	4.56	
S0378	4.56	
S0379	4.55	
S0380	4.55	
S0381	4.54	
S0382	4.53	
S0383	4.53	
S0384	4.53	
S0385	4.52	
S0386	4.52	
S0387	4.51	
S0388	4.5	
S0389	4.49	
S0390	4.48	
S0391	4.48	
S0392	4.48	
S0393	4.48	
S0394	4.47	
S0395	4.47	
S0396	4.46	
S0397	4.45	
S0398	4.45	
S0399	4.45	
S0400	4.43	
S0401	4.42	
S0402	4.42	
S0403	4.41	
S0404	4.41	
S0405	4.41	
S0406	4.41	
S0407	4.4	
S0408	4.4	
S0409	4.39	
S0410	4.39	
S0411	4.39	
S0412	4.38	
S0413	4.38	
S0414	4.38	
S0415	4.37	
S0416	4.37	
S0417	4.36	
S0418	4.35	
S0419	4.34	
S0420	4.34	
S0421	4.33	
S0422	4.32	
S0423	4.31	
S0424	4.31	
S0425	4.31	
S0426	4.31	
S0427	4.3	
S0428	4.3	
S0429	4.3	
S0430	4.3	
S0431	4.29	
S0432	4.29	
S0433	4.28	
S0434	4.28	
S0435	4.27	
S0436	4.27	
S0437	4.27	
S0438	4.26	
S0439	4.26	
S0440	4.25	
S0441	4.23	
S0442	4.23	
S0443	4.23	
S0444	4.22	
S0445	4.22	
S0446	4.21	
S0447	4.21	
S0448	4.2	
S0449	4.18	
S0450	4.17	
S0451	4.16	
S0452	4.16	
S0453	4.16	
S0454	4.13	
S0455	4.11	
S0456	4.11	
S0457	4.11	
S0458	4.11	
S0459	4.11	
S0460	4.1	
S0461	4.1	
S0462	4.09	
S0463	4.09	
S0464	4.07	
S0465	4.07	
S0466	4.07	
S0467	4.07	
S0468	4.06	
S0469	4.06	
S0470	4.06	
S0471	4.05	
S0472	4.05	
S0473	4.05	
S0474	4.04	
S0475	4.03	
S0476	4.03	
S0477	4.02	
S0478	4.01	
S0479	4	
S0480	3.99	
S0481	3.98	
S0482	3.98	
S0483	3.98	
S0484	3.98	
S0485	3.97	
S0486	3.97	
S0487	3.97	
S0488	3.97	
S0489	3.97	
S0490	3.96	
S0491	3.96	
S0492	3.96	
S0493	3.96	
S0494	3.96	
S0495	3.96	
S0496	3.95	
S0497	3.93	
S0498	3.92	
S0499	3.91	
S0500	3.91	
S0501	3.91	
S0502	3.9	
S0503	3.9	
S0504	3.89	
S0505	3.89	
S0506	3.88	
S0507	3.88	
S0508	3.88	
S0509	3.88	
S0510	3.88	
S0511	3.87	
S0512	3.87	
S0513	3.86	
S0514	3.86	
S0515	3.85	
S0516	3.85	
S0517	3.85	
S0518	3.85	
S0519	3.84	
S0520	3.83	
S0521	3.82	
S0522	3.82	
S0523	3.82	
S0524	3.81	
S0525	3.81	
S0526	3.8	
S0527	3.8	
S0528	3.8	
S0529	3.79	
S0530	3.79	
S0531	3.79	
S0532	3.79	
S0533	3.79	
S0534	3.78	
S0535	3.77	
S0536	3.77	
S0537	3.77	
S0538	3.77	
S0539	3.76	
S0540	3.76	
S0541	3.75	
S0542	3.74	
S0543	3.74	
S0544	3.74	
S0545	3.73	
S0546	3.73	
S0547	3.72	
S0548	3.72	
S0549	3.71	
S0550	3.71	
S0551	3.71	
S0552	3.7	
S0553	3.7	
S0554	3.7	
S0555	3.7	
S0556	3.69	
S0557	3.69	
S0558	3.69	
S0559	3.68	
S0560	3.68	
S0561	3.68	
S0562	3.67	
S0563	3.67	
S0564	3.67	
S0565	3.66	
S0566	3.66	
S0567	3.66	
S0568	3.66	
S0569	3.65	
S0570	3.65	
S0571	3.65	
S0572	3.65	
S0573	3.65	
S0574	3.64	
S0575	3.64	
S0576	3.64	
S0577	3.63	
S0578	3.63	
S0579	3.62	
S0580	3.62	
S0581	3.62	
S0582	3.62	
S0583	3.62	
S0584	3.62	
S0585	3.6	
S0586	3.6	
S0587	3.6	
S0588	3.6	
S0589	3.59	
S0590	3.59	
S0591	3.59	
S0592	3.59	
S0593	3.58	
S0594	3.58	
S0595	3.58	
S0596	3.57	
S0597	3.57	
S0598	3.57	
S0599	3.57	
S0600	3.57	
S0601	3.57	
S0602	3.57	
S0603	3.57	
S0604	3.56	
S0605	3.56	
S0606	3.56	
S0607	3.55	
S0608	3.55	
S0609	3.54	
S0610	3.54	
S0611	3.54	
S0612	3.54	
S0613	3.53	
S0614	3.53	
S0615	3.53	
S0616	3.53	
S0617	3.52	
S0618	3.52	
S0619	3.52	
S0620	3.52	
S0621	3.51	
S0622	3.51	
S0623	3.51	
S0624	3.5	
S0625	3.5	
S0626	3.5	
S0627	3.5	
S0628	3.5	
S0629	3.5	
S0630	3.49	
S0631	3.49	
S0632	3.49	
S0633	3.48	
S0634	3.48	
S0635	3.48	
S0636	3.48	
